scope,feature_name,importance_wape_mean,importance_wape_std
h1,pair_roll_6_mean,0.0279612741010124,0.0002295803382147965
h1,pair_roll_6_sum,0.0003704601494364801,0.0017994328158000283
h1,pair_roll_6_std,0.0007178593136630829,0.0001935966911804643
h1,pair_roll_6_target_available_count,0.0,0.0
h1,pair_roll_6_positive_count,0.0014634900784976645,0.000589819800977498
h1,pair_roll_6_coverage,0.0,0.0
h1,pair_roll_12_mean,-0.00023330516322445094,5.7577486285709245e-05
h1,pair_roll_12_sum,0.0034269907450895642,0.00039677876043686666
h1,pair_roll_12_std,0.0006946701973737368,0.00015704757468809616
h1,pair_roll_12_target_available_count,-0.00016865426296452934,2.5145758187683498e-05
h1,pair_roll_12_positive_count,0.001384830167418638,3.4852713342248265e-05
h1,pair_roll_12_coverage,0.0,0.0
h1,pair_history_length_months,-8.54024728207392e-05,2.9139490298146775e-05
h1,pair_target_available_count_to_origin,-0.00048318116164891567,0.00012391797121158454
h1,pair_positive_count_to_origin,-0.0005818169248478777,0.000613871920404685
h1,pair_positive_rate_to_origin,0.008200538271805113,5.229999300304655e-05
h1,pair_last_positive_m2_to_origin,-0.00029463813644547976,0.00020247781543569765
h1,pair_mean_positive_m2_to_origin,-0.0015695479200923956,0.00014714364200890673
h1,pair_peak_positive_m2_to_origin,-0.0008009635310664565,0.00018278282702771653
h1,pair_peak_share_to_origin,-0.0015803094138452933,0.0005176771107278655
h1,pair_adi_target_available_to_origin,-0.00011687978062763227,0.00011536825083263702
h1,pair_cv2_positive_to_origin,0.007027781654474763,0.0018680028363061152
h1,sku_global_lag_1,0.04457343807639724,0.0018047715135266484
h1,sku_global_lag_2,-0.0002878495225274169,0.0006988552004394966
h1,sku_global_lag_3,0.0008526039735729518,0.0008758966683499181
h1,sku_global_lag_6,0.0011623132942078507,0.0003459334342342246
h1,sku_global_lag_12,0.002559617658607183,0.0001762786508555103
h1,sku_global_roll_3_mean,0.021239227289916174,0.0002522452142524334
h1,sku_global_roll_3_sum,-0.0007038967336225332,0.0002527948675836167
h1,sku_global_roll_6_mean,0.001370949466632354,0.000332842126283206
h1,sku_global_roll_6_sum,0.00012231751020130854,0.00010872109393289531
h1,sku_global_roll_12_mean,0.0017179310062910291,0.00010657060029095611
h1,sku_global_roll_12_sum,-0.000578018310288364,0.0006863245170963816
h1,sku_global_positive_rate_12m,-3.570197201174796e-05,4.268679500873951e-05
h1,sku_target_available_branch_count_lag_1,-2.8704240869426023e-05,0.00018820811235864543
h1,sku_positive_branch_count_lag_1,-0.001237710962121552,0.0008572283225164457
h1,sku_known_branch_count_to_origin,0.004428947126037974,0.00012693028058713418
h1,sku_ever_positive_branch_count_to_origin,0.0005962310492919065,0.00017652262598283341
h1,cross_branch_penetration_to_origin,1.4463545927823063e-05,8.620562151451239e-06
h1,size_branch_lag_1,0.002643725437257327,0.00037538828565131244
h1,size_branch_lag_2,0.0005309900484052887,5.8718043682848275e-06
h1,size_branch_lag_3,-0.0002761101786590281,0.00041339333227297104
h1,size_branch_lag_6,0.00010757304714348326,0.00011847009564447397
h1,size_branch_lag_12,-0.00024190574784388463,0.0002971926759168797
h1,size_branch_roll_3_mean,0.0005480912835386098,2.0991341361464855e-05
h1,size_branch_roll_6_mean,-7.615645795472359e-05,0.0002116483468171393
h1,size_branch_roll_12_mean,0.0024494576518805933,0.00034876174750347877
h1,size_branch_target_available_sku_count_lag_1,0.00874608318244896,0.0003426025004933386
h1,size_branch_positive_sku_count_lag_1,0.004664804833153402,0.00012003313159297813
h1,horizon,0.0,0.0
h1,target_month_num,0.0,0.0
h1,target_quarter,0.0,0.0
h1,target_year,0.0,0.0
h1,target_days_in_month,0.0,0.0
h1,target_month_sin,0.0,0.0
h1,target_month_cos,0.0,0.0
h1,target_weekday_count,0.0,0.0
h1,target_public_holiday_event_count,0.0,0.0
h1,target_statutory_holiday_nominal_days,0.0,0.0
h1,target_working_days_proxy,0.0,0.0
h1,target_lunar_month_mid,0.0,0.0
h1,target_lunar_month_mid_is_leap,0.0,0.0
h1,target_lunar_month_sin,0.0,0.0
h1,target_lunar_month_cos,0.0,0.0
h1,target_tet_day_of_month,0.0,0.0
h1,target_days_to_next_tet_from_midmonth,0.0,0.0
h1,target_days_since_prev_tet_from_midmonth,0.0,0.0
h1,target_is_tet_month,0.0,0.0
h1,target_is_post_tet_month,0.0,0.0
h2,tile_size_code,-0.02976069593033026,0.0032434891033883417
h2,months_since_first_positive,9.15643655474696e-05,0.0006353265147271969
h2,months_since_last_positive,-0.015218302128658712,0.00037009186215342105
h2,pair_lag_1,-0.06196448821618228,0.002720087913460567
h2,pair_lag_2,-0.010656343683180802,0.0013315411252097231
h2,pair_lag_3,0.0017467504624517627,0.00103933136006229
h2,pair_lag_6,-0.000648422509235802,0.00039613135911786834
h2,pair_lag_12,0.0030548814677637814,0.00027593138834847153
h2,pair_roll_3_mean,-0.02794616166164743,0.0007066764926635383
h2,pair_roll_3_sum,-0.036789556549777336,0.0007793505689870361
h2,pair_roll_3_std,0.005909617722635874,0.000972872441879824
h2,pair_roll_3_target_available_count,0.0,0.0
h2,pair_roll_3_positive_count,-0.008270767972353266,0.00030952833864983376
h2,pair_roll_3_coverage,0.0,0.0
h2,pair_roll_6_mean,-0.042017631567520475,0.0014025415983871525
h2,pair_roll_6_sum,-0.06541197434871959,0.0009071634831530062
h2,pair_roll_6_std,-0.006738578738336054,5.751099382877989e-05
h2,pair_roll_6_target_available_count,0.0,0.0
h2,pair_roll_6_positive_count,-0.01909926460889233,0.0007469159666149139
h2,pair_roll_6_coverage,0.0,0.0
h2,pair_roll_12_mean,-0.06526799080654233,0.001816915633837679
h2,pair_roll_12_sum,-0.0008591269685469527,0.0023693667958570863
h2,pair_roll_12_std,-0.018977650383676936,0.00048286087136806266
h2,pair_roll_12_target_available_count,0.0005873481818725601,0.00030347181800083334
h2,pair_roll_12_positive_count,0.0006167221995456718,0.0012677527652733556
h2,pair_roll_12_coverage,0.0,0.0
h2,pair_history_length_months,0.0,0.0
h2,pair_target_available_count_to_origin,0.0004895859269107294,0.0005594273404592176
h2,pair_positive_count_to_origin,-0.029694848117571837,0.0012991348587001461
h2,pair_positive_rate_to_origin,-0.010184451087197566,0.0014676710340602028
h2,pair_last_positive_m2_to_origin,-0.00616684939473755,9.56673983409928e-06
h2,pair_mean_positive_m2_to_origin,-0.02012135670997628,0.0008908686847419744
h2,pair_peak_positive_m2_to_origin,-0.003346898669230214,0.000315998250905114
h2,pair_peak_share_to_origin,-0.009036758768343534,0.0009004948141158042
h2,pair_adi_target_available_to_origin,-0.0022544665983528223,8.43114315289828e-05
h2,pair_cv2_positive_to_origin,-0.054810299231532245,0.0011468761218069723
h2,sku_global_lag_1,-0.10106297320999902,0.0057181042381357905
h2,sku_global_lag_2,-0.003695233505236928,0.0011534000547257506
h2,sku_global_lag_3,0.04458434603341477,0.0019993936838362814
h2,sku_global_lag_6,-0.01677967987595763,0.0011073432607753286
h2,sku_global_lag_12,-0.0022087873102925037,0.00039144467054397225
h2,sku_global_roll_3_mean,0.059735591763594,0.002711058190433935
h2,sku_global_roll_3_sum,-0.008751237794421884,0.001800419131777753
h2,sku_global_roll_6_mean,0.010951188537517531,0.0008187965090882265
h2,sku_global_roll_6_sum,0.002835961755025762,0.00013745582255775268
h2,sku_global_roll_12_mean,-0.018036312456877646,0.0007194668679186833
h2,sku_global_roll_12_sum,-0.023460542037424315,0.0009937157336432634
h2,sku_global_positive_rate_12m,0.021367333940254474,0.0004357643787999965
h2,sku_target_available_branch_count_lag_1,-0.01776033971090407,0.0010447472369803368
h2,sku_positive_branch_count_lag_1,-0.018379098174583053,0.0008130890241764277
h2,sku_known_branch_count_to_origin,0.020771467376017982,1.3819737954667843e-05
h2,sku_ever_positive_branch_count_to_origin,0.0022176155527635633,0.0005520385421926566
h2,cross_branch_penetration_to_origin,-0.0004918618662264063,0.00011900384453356061
h2,size_branch_lag_1,-0.002874699632302802,0.0015214888124284176
h2,size_branch_lag_2,0.006754737023765944,0.0009839146244363661
h2,size_branch_lag_3,-0.0021128640911596275,0.0008130910644859046
h2,size_branch_lag_6,-0.0011175292981757678,0.0001834145486809824
h2,size_branch_lag_12,0.0014302560716918933,0.002070256718197161
h2,size_branch_roll_3_mean,0.0015773498132711783,0.0009498008526251933
h2,size_branch_roll_6_mean,-0.0051703481698990306,0.00039355466613177903
h2,size_branch_roll_12_mean,-0.06069385323666432,0.0004699430602685961
h2,size_branch_target_available_sku_count_lag_1,0.04026683570955969,0.0009022493932371312
h2,size_branch_positive_sku_count_lag_1,-0.015554325904324928,0.00043280987209493027
h2,horizon,0.0,0.0
h2,target_month_num,0.0,0.0
h2,target_quarter,0.0,0.0
h2,target_year,0.0,0.0
h2,target_days_in_month,0.0,0.0
h2,target_month_sin,0.0,0.0
h2,target_month_cos,0.0,0.0
h2,target_weekday_count,0.0,0.0
h2,target_public_holiday_event_count,0.0,0.0
