model,universe,horizon,segment,n_rows,wape,mae,bias,bias_ratio,zero_false_positive_rate,positive_wape
tsb,ROLLING_PRIMARY,,,420846,1.8974768803886408,78.32517361956408,19260432.991577823,1.1087100117488566,0.9949275800550331,0.8362796954335163
tsb,ROLLING_PRIMARY,1.0,,140425,1.697051559117574,77.50637258634251,5811070.692446422,0.9060858568113492,0.9946734049873064,0.8060501217625483
tsb,ROLLING_PRIMARY,2.0,,140096,1.9432856544130408,78.48080321020663,6535883.799451228,1.1551856684232957,0.9949711263546882,0.8484478117648597
tsb,ROLLING_PRIMARY,3.0,,140325,2.091078797193204,78.98918254142039,6913478.4996801745,1.3042605092294417,0.9951190281636433,0.8598668428302331
tsb,ROLLING_PRIMARY,,regular,51219,1.0449871417725372,122.14175934931531,2576230.611753407,0.4303288041071794,1.0,0.7173195448155739
tsb,ROLLING_PRIMARY,,intermittent,289442,2.245097180563216,71.7773326238716,12844447.253422864,1.3880390952283508,1.0,0.900437324021649
tsb,ROLLING_PRIMARY,,very_sparse,80185,2.7826300993613446,73.97247035814492,3839755.1264015534,1.8013402424523808,0.9774582591460342,0.8918622771034495
lightgbm_tweedie,ROLLING_PRIMARY,,,420846,1.0097204563712918,41.67983856346562,-3334528.0453946944,-0.19194919605405933,1.0,0.7291063103266173
lightgbm_tweedie,ROLLING_PRIMARY,1.0,,140425,0.9685268417566739,44.23377819828844,-980519.613627285,-0.15288661956713978,1.0,0.7103266238031609
lightgbm_tweedie,ROLLING_PRIMARY,2.0,,140096,1.0220070326388453,41.27439145440655,-1111018.2830962988,-0.1963670771039199,1.0,0.7327051881405529
lightgbm_tweedie,ROLLING_PRIMARY,3.0,,140325,1.0464467093079686,39.528864360513474,-1242990.1486711104,-0.23449598698368118,1.0,0.7479867369242852
lightgbm_tweedie,ROLLING_PRIMARY,,regular,51219,0.8161684808163472,95.39663234829136,-1553043.47756652,-0.2594175146349927,1.0,0.6655232594953344
lightgbm_tweedie,ROLLING_PRIMARY,,intermittent,289442,1.090337800056841,34.85886474073573,-1581628.4210715792,-0.17091915590113127,1.0,0.7591320568239754
lightgbm_tweedie,ROLLING_PRIMARY,,very_sparse,80185,1.2033409165266415,31.9891962280362,-199856.14675659558,-0.09375830176741211,1.0,0.7773335629014152
hurdle,ROLLING_PRIMARY,,,420846,0.9139779100462071,37.72772107460565,-10849785.58332483,-0.6245584357745638,0.04976036406519307,0.8510716714202587
hurdle,ROLLING_PRIMARY,1.0,,140425,0.8778679659782224,40.093279009214136,-3377404.302432302,-0.5266186617116128,0.05167627589152253,0.8117808283949621
hurdle,ROLLING_PRIMARY,2.0,,140096,0.9332489750402604,37.689841938540994,-3824891.2793653337,-0.6760309278404038,0.049339465922318027,0.8728632573108136
hurdle,ROLLING_PRIMARY,3.0,,140325,0.9370982342136321,35.39829468927671,-3647490.0015271916,-0.6881162886412722,0.048406602386010786,0.8753502490532955
hurdle,ROLLING_PRIMARY,,regular,51219,0.8177934440648915,95.58656374756056,-2735678.5088491966,-0.45696268640078963,0.3077972709551657,0.7435322307524206
hurdle,ROLLING_PRIMARY,,intermittent,289442,0.9558905024761852,30.56049027286238,-6428099.650323473,-0.6946545418912412,0.03807660669464892,0.8977913058551691
hurdle,ROLLING_PRIMARY,,very_sparse,80185,1.002163964757342,26.641178140791332,-1686007.424152161,-0.7909548713969623,0.02027412906910337,0.95028018205584
behavior_gated,ROLLING_PRIMARY,,,420846,0.9123782905848685,37.661691035805426,-10482081.304642804,-0.603391859959995,0.055437543467085966,0.8433267568558674
behavior_gated,ROLLING_PRIMARY,1.0,,140425,0.8781298922631462,40.105241495633834,-3357291.9022514825,-0.5234826541985639,0.05594704249412769,0.8102053336665641
behavior_gated,ROLLING_PRIMARY,2.0,,140096,0.9264740174226632,37.416231049510515,-3681108.3900363455,-0.6506180015684762,0.055249805060515994,0.8599397315051863
behavior_gated,ROLLING_PRIMARY,3.0,,140325,0.9387703719895667,35.461458639002075,-3443681.012354975,-0.6496667561786211,0.05515062374026257,0.865668427788701
behavior_gated,ROLLING_PRIMARY,,regular,51219,0.8131517080627335,95.04402137639133,-2367974.2301671715,-0.3955420426942724,0.4053931124106563,0.7210582301316174
behavior_gated,ROLLING_PRIMARY,,intermittent,289442,0.9558905024761852,30.56049027286238,-6428099.650323473,-0.6946545418912412,0.03807660669464892,0.8977913058551691
behavior_gated,ROLLING_PRIMARY,,very_sparse,80185,1.002163964757342,26.641178140791332,-1686007.424152161,-0.7909548713969623,0.02027412906910337,0.95028018205584
