threshold,wape,zero_false_positive_rate,mae,bias_ratio,forecast_origin,horizon
0.75,0.8971085688073996,0.06507836109354136,59.82955875663471,-0.5163048046971205,2025-05-01,1
0.8,0.8983357518392918,0.04209712558858669,59.91140149213477,-0.5950696096652581,2025-05-01,1
0.85,0.9102204763482367,0.022770398481973434,60.704012161609924,-0.7008028597035375,2025-05-01,1
0.9,0.9298583703061174,0.006535947712418301,62.01369369990079,-0.8320941917274597,2025-05-01,1
0.95,0.995939304429454,0.00014055801532082368,66.42073345884693,-0.9923033001227918,2025-05-01,1
0.0,0.9553590433112501,1.0,60.33603824110097,-0.28541818315749623,2025-05-01,2
0.05,0.9542711622376996,0.9289683135605947,60.26733272717397,-0.2866948883415702,2025-05-01,2
0.1,0.949030704803539,0.7281123291785553,59.936369784642466,-0.2934616113227367,2025-05-01,2
0.15,0.9446798697476421,0.6193872953896982,59.66159125802334,-0.3002277977292297,2025-05-01,2
0.2,0.9397025884248387,0.5234269409821295,59.347249295876296,-0.3103559246689786,2025-05-01,2
0.25,0.933569747578486,0.43309806277218804,58.95992756335822,-0.32630501171909515,2025-05-01,2
0.3,0.9257193353724891,0.3569605045802673,58.4641320042062,-0.34662428605156165,2025-05-01,2
0.35,0.9197041580058256,0.29614056164589275,58.084241350359356,-0.3677472452274627,2025-05-01,2
0.4,0.912894624359903,0.24650848475747109,57.654182844773416,-0.3953439261768978,2025-05-01,2
0.45,0.9077474499464032,0.20010512088902238,57.32911122440109,-0.4273421377570445,2025-05-01,2
0.5,0.9048597276091903,0.1576062471842619,57.146736098957284,-0.4668425335964981,2025-05-01,2
0.55,0.9026744109504813,0.11931220904039645,57.008721652543734,-0.511768137873248,2025-05-01,2
0.6,0.9020855281136442,0.09077939630575162,56.97153054872607,-0.5572674644940963,2025-05-01,2
0.65,0.9050874719680261,0.0640486559543475,57.16111937448089,-0.6107259673552395,2025-05-01,2
0.7,0.9105994835330499,0.044601291485207986,57.509232414181625,-0.6679471930567623,2025-05-01,2
0.75,0.9133088780653624,0.027406517495119388,57.680345184041684,-0.7312766429941777,2025-05-01,2
0.8,0.9266131791659743,0.014942183511037693,58.5205830250898,-0.8047899134453123,2025-05-01,2
0.85,0.9472920495359667,0.004805526355308605,59.826564396347045,-0.8934235954832298,2025-05-01,2
0.9,0.9988808223965522,0.00022525904790509084,63.08467159062172,-0.9952230421796759,2025-05-01,2
0.95,1.0,0.0,63.15535364796234,-1.0,2025-05-01,2
0.0,0.963321253907363,1.0,58.82752132620139,-0.34094254570886645,2025-05-01,3
0.05,0.9623070506154464,0.9317589447910908,58.765586571266496,-0.34214895023596825,2025-05-01,3
0.1,0.9573328011451153,0.754363794329042,58.46182210472864,-0.3487781198411933,2025-05-01,3
0.15,0.9521442321482492,0.6357317747413317,58.14496970260676,-0.3567760489488234,2025-05-01,3
0.2,0.9466592581763502,0.5244451465129136,57.81001662024014,-0.36844952635806905,2025-05-01,3
0.25,0.9413227637091579,0.43582655398467735,57.48413079471459,-0.38481899226498817,2025-05-01,3
0.3,0.9346225588831161,0.3606350209304162,57.074966727488686,-0.40328238400930827,2025-05-01,3
0.35,0.9285911233305213,0.2991864781612827,56.706642658899206,-0.42592812781341816,2025-05-01,3
0.4,0.9244722108716538,0.24500434404865334,56.45511139709847,-0.4548288831727626,2025-05-01,3
0.45,0.9193440917820419,0.19350762183081904,56.14195051345367,-0.4905453314828845,2025-05-01,3
0.5,0.912988463961592,0.15235763367822447,55.75382886698072,-0.5281895985313755,2025-05-01,3
0.55,0.9088350817132661,0.11657846931521997,55.50019262486709,-0.570888434106018,2025-05-01,3
0.6,0.9075216907090986,0.08695995576968645,55.419987255169374,-0.6176328255656202,2025-05-01,3
0.65,0.9086561912857215,0.05860516546876234,55.48926825213188,-0.6713381407151647,2025-05-01,3
0.7,0.9159246755314768,0.038227628149435276,55.933135664214795,-0.727240881840274,2025-05-01,3
0.75,0.9257401842875412,0.02408972435036727,56.532543232907784,-0.7847199405763992,2025-05-01,3
0.8,0.9432199459616715,0.009951820551299265,57.59998677626461,-0.8635705383327907,2025-05-01,3
0.85,0.9815752926503788,0.0023694810836426823,59.94224795461162,-0.9615200491815867,2025-05-01,3
0.9,0.9999790338602579,0.0,61.066116522978284,-0.9998622789816037,2025-05-01,3
0.95,1.0,0.0,61.06739687055476,-1.0,2025-05-01,3
0.0,0.9542484366986519,1.0,58.460335361185834,-0.045598900070702955,2025-06-01,1
0.05,0.9525412842705406,0.8863156587607103,58.35574970023855,-0.04742280728542484,2025-06-01,1
0.1,0.9476746122904239,0.7253818452750528,58.0576016864626,-0.053209114301898126,2025-06-01,1
0.15,0.9419245882741899,0.6270954923630945,57.705336679367726,-0.06052018699779267,2025-06-01,1
0.2,0.9354225544252467,0.5452626350428412,57.30700112573136,-0.07009705313834858,2025-06-01,1
0.25,0.9284441431107653,0.47553706693157827,56.87948115289884,-0.08344814076432618,2025-06-01,1
0.3,0.9189877495209071,0.4116478331056749,56.30015199781734,-0.10102355337116936,2025-06-01,1
0.35,0.911319417365616,0.35744443064696385,55.830365250238046,-0.11979459032476787,2025-06-01,1
0.4,0.9036731856808221,0.30665590463181425,55.36193244872481,-0.14334954142136466,2025-06-01,1
0.45,0.8970820562080042,0.2651806780081957,54.95813860995993,-0.1698530802697728,2025-06-01,1
0.5,0.8893633921873737,0.22656152986464673,54.48526837005942,-0.1983936489154508,2025-06-01,1
0.55,0.881528281425086,0.18918415497330188,54.0052642273856,-0.2317557233811669,2025-06-01,1
0.6,0.8770250905801241,0.1563392524525022,53.72938423967226,-0.2695194411843511,2025-06-01,1
0.65,0.8736135680220526,0.1256053644604495,53.520383370331466,-0.3153560586174362,2025-06-01,1
0.7,0.8719919330401994,0.09791382093629704,53.42103678381722,-0.37016293654242727,2025-06-01,1
0.75,0.8724452565443037,0.07146405066434869,53.44880884301884,-0.43654801432670154,2025-06-01,1
0.8,0.8745538564277208,0.04625605364460449,53.577988469189975,-0.5139366430946003,2025-06-01,1
0.85,0.8820469653630654,0.024090401092760463,54.037040477463236,-0.6251207669069249,2025-06-01,1
0.9,0.9050617584192744,0.009127033403700484,55.44700089090551,-0.7535882185163788,2025-06-01,1
0.95,0.9787614290405027,0.0011796845895939401,59.96208029248336,-0.9555531773038862,2025-06-01,1
0.0,1.004935190646963,1.0,59.16448604306028,-0.13080612159125105,2025-06-01,2
0.05,1.0037959226377304,0.9227330352972576,59.097412855795184,-0.1320680244672052,2025-06-01,2
0.1,0.9986416373105852,0.7399746446920664,58.7939598121183,-0.1382807662386123,2025-06-01,2
0.15,0.9935924384106777,0.6359511576699807,58.49669361960901,-0.14551133956843393,2025-06-01,2
0.2,0.9871531435111651,0.546206712484153,58.11758700979461,-0.15613616582958553,2025-06-01,2
0.25,0.9801116725911927,0.46980716621071594,57.7030279299209,-0.16890863068741244,2025-06-01,2
0.3,0.9724863823857239,0.4017481817575232,57.2540971131532,-0.1861064551337908,2025-06-01,2
0.35,0.9641619591920504,0.345833055314606,56.76400558840368,-0.2069733032862318,2025-06-01,2
0.4,0.9560171646294191,0.2966571028224461,56.28448950745704,-0.23381110522300996,2025-06-01,2
0.45,0.9471815751093915,0.2508173750583839,55.76430361118711,-0.2623490495854847,2025-06-01,2
0.5,0.9383665826711681,0.21091612731033563,55.245330346109995,-0.29863726355928033,2025-06-01,2
0.55,0.9303359882055094,0.17208247147527858,54.77253767390289,-0.33889764295710867,2025-06-01,2
0.6,0.9227853605042885,0.1363181423900714,54.328002532330586,-0.38701486293985665,2025-06-01,2
0.65,0.9232389320617769,0.10802695669580303,54.35470607334727,-0.44554088091149774,2025-06-01,2
0.7,0.917171695257076,0.0786681790885434,53.99750398649372,-0.5144263700116994,2025-06-01,2
0.75,0.9171720703945996,0.05404684059518249,53.99752607231476,-0.5910209635365652,2025-06-01,2
0.8,0.9170803492692197,0.03075999199306065,53.99212608901942,-0.690162485246858,2025-06-01,2
0.85,0.9291369272108573,0.013678521385200508,54.701944238482234,-0.8042391093756006,2025-06-01,2
0.9,0.9745235596331306,0.0014679388803629813,57.374033747817016,-0.9500037817356637,2025-06-01,2
0.95,1.0,0.0,58.87393196467826,-1.0,2025-06-01,2
0.0,0.990425314873367,1.0,55.801093263963544,-0.279821733979989,2025-06-01,3
0.05,0.9888013728062341,0.910762845284099,55.709599497212494,-0.28172802043664863,2025-06-01,3
0.1,0.983144073139191,0.7241305281236582,55.390864200767425,-0.288893589547198,2025-06-01,3
0.15,0.9770324243981194,0.6010447974810362,55.04653063388891,-0.2983464362280103,2025-06-01,3
0.2,0.9708862305768973,0.49864033204522684,54.700250778673116,-0.3111317513551914,2025-06-01,3
0.25,0.9643124745752235,0.415557463861457,54.32988184096998,-0.32914206729138956,2025-06-01,3
0.3,0.9578273384902747,0.3471446972949764,53.96450579688937,-0.3505414554693786,2025-06-01,3
0.35,0.950556257883764,0.28660369257191926,53.55484921707388,-0.37808827358754066,2025-06-01,3
0.4,0.9415407888011876,0.23350508086446256,53.04691285524983,-0.4105750200173394,2025-06-01,3
0.45,0.937555034171133,0.19250035780735653,52.82235330240016,-0.44287942412524,2025-06-01,3
0.5,0.9298713091603462,0.15357091741806211,52.389448115605354,-0.481607366198438,2025-06-01,3
0.55,0.9231141425080064,0.12101044797481036,52.00874572350669,-0.5239520075500611,2025-06-01,3
0.6,0.9207295919427306,0.09295835122370116,51.8743988661643,-0.5696087545371402,2025-06-01,3
0.65,0.9178136515514443,0.0674109059682267,51.710113221115805,-0.6222218606422257,2025-06-01,3
0.7,0.9144201303021429,0.046157148990983256,51.51892041446816,-0.6758332378058576,2025-06-01,3
0.75,0.9199947799918617,0.029268641763274653,51.83299916687737,-0.7346786929087452,2025-06-01,3
0.8,0.9245339138014997,0.015171031916416201,52.08873639940319,-0.8080620860832247,2025-06-01,3
0.85,0.9400330907319671,0.00465149563475025,52.96196833766625,-0.8956113760020852,2025-06-01,3
0.9,0.9875603259033737,0.00021468441391155003,55.63967824930869,-0.9855251903740865,2025-06-01,3
0.95,1.0,0.0,56.34053615753764,-1.0,2025-06-01,3
0.0,0.9985551312417705,1.0,52.57068325257238,0.009367885457224353,2025-07-01,1
0.05,0.9961723126943457,0.8498537536561586,52.445235598070575,0.006847698268755527,2025-07-01,1
0.1,0.9900670388492502,0.7051240385657025,52.123812766782734,-0.00024268053068593438,2025-07-01,1
0.15,0.9823187185384609,0.6032390856895244,51.71588887750139,-0.010226026457354624,2025-07-01,1
0.2,0.9725520035755606,0.5172787346982992,51.20170306775618,-0.0237641358822009,2025-07-01,1
0.25,0.9636878152014068,0.4513595493445997,50.73503235050767,-0.038214153268397694,2025-07-01,1
0.3,0.953581278022307,0.39166937493229337,50.20295600519654,-0.05792872607830349,2025-07-01,1
0.35,0.9451629799877382,0.3417289567760806,49.75975996558406,-0.07707699424734407,2025-07-01,1
0.4,0.9347232541815208,0.2963384248727115,49.21014232161897,-0.10097339586729664,2025-07-01,1
0.45,0.9252992149788981,0.2541978117213736,48.71399727726392,-0.12796232897239984,2025-07-01,1
0.5,0.9167650707403278,0.21704040732315025,48.26470231140688,-0.15706530486737771,2025-07-01,1
0.55,0.9076150208154394,0.18410789730256744,47.78298191230549,-0.18797686057740853,2025-07-01,1
0.6,0.9001368831150957,0.15252952009533094,47.389282259613296,-0.2235791505520404,2025-07-01,1
0.65,0.893582469869752,0.1231177553894486,47.044213698202036,-0.26623472096313944,2025-07-01,1
0.7,0.8900936668164381,0.09614342974758965,46.86053955292145,-0.31932746290630876,2025-07-01,1
0.75,0.8851809214589678,0.06965659191853538,46.601899471860584,-0.39067339659097083,2025-07-01,1
0.8,0.8896263796236489,0.04641967284151229,46.83593840048478,-0.47650066462891916,2025-07-01,1
0.85,0.8990076975985479,0.026865995016791246,47.32983431100579,-0.5834237175269519,2025-07-01,1
0.9,0.9165628664441934,0.010508070631567544,48.254056912197754,-0.7283767661526387,2025-07-01,1
0.95,0.978014838067054,0.001191636875744773,51.48930355442775,-0.9497015226124392,2025-07-01,1
0.0,1.0417746142466036,1.0,54.04286873670084,-0.07051279840562867,2025-07-01,2
0.05,1.0399145577056,0.8851663585951941,53.946376856294435,-0.0725305876624046,2025-07-01,2
0.1,1.0348115451827462,0.7457832717190388,53.68165411093001,-0.07842778306023401,2025-07-01,2
0.15,1.0271516559837985,0.6362060998151571,53.28429139844371,-0.08823522152381594,2025-07-01,2
0.2,1.018407600798248,0.5508317929759704,52.83068673179429,-0.10111616714148522,2025-07-01,2
0.25,1.0086396989452737,0.4733710720887246,52.323969222599615,-0.11773422719290252,2025-07-01,2
0.3,0.9982705884355486,0.4059611829944547,51.78606354652527,-0.13656153231990803,2025-07-01,2
0.35,0.98850520396,0.348775415896488,51.27947662824338,-0.16025313380813924,2025-07-01,2
0.4,0.9782233324735359,0.2986945471349353,50.74609654438286,-0.18822237412089443,2025-07-01,2
0.45,0.9685727873461176,0.25525646950092423,50.2454670066437,-0.2205752864994924,2025-07-01,2
0.5,0.9594529344327813,0.21337800369685767,49.77236754045073,-0.26070103087044444,2025-07-01,2
0.55,0.9488067854454018,0.17525415896487986,49.22009027777967,-0.3049957636272922,2025-07-01,2
0.6,0.9401372155800842,0.1423290203327172,48.77034959507562,-0.3566865016765127,2025-07-01,2
0.65,0.9323347907772294,0.11125231053604437,48.365592737227246,-0.4131569667750778,2025-07-01,2
0.7,0.9267274430591746,0.08358364140480591,48.07470721117992,-0.48454291059646,2025-07-01,2
0.75,0.924349656880137,0.057474584103512014,47.95135770294622,-0.5629456955304358,2025-07-01,2
0.8,0.9231635832205852,0.03361829944547135,47.889829208952754,-0.656536654523354,2025-07-01,2
0.85,0.9381759688153298,0.015134011090573014,48.66860839307431,-0.784969437208945,2025-07-01,2
0.9,0.9775106562456659,0.0020794824399260627,50.70912591051654,-0.9405516407404282,2025-07-01,2
0.95,1.0,0.0,51.87577811711592,-1.0,2025-07-01,2
0.0,1.0772305045875272,1.0,53.79147852775807,-0.10889419001051823,2025-07-01,3
0.05,1.075838919121602,0.9147688276034193,53.72198974203294,-0.110413601954717,2025-07-01,3
0.1,1.070689091970277,0.7632120796156486,53.46483325096399,-0.116434341591434,2025-07-01,3
0.15,1.0644304533691493,0.662007861733325,53.15230828765127,-0.12422235791038086,2025-07-01,3
0.2,1.056085026658013,0.5786485306046047,52.735579611824406,-0.13655145502502794,2025-07-01,3
0.25,1.046543705935145,0.49709864603481624,52.259133998183785,-0.1539282909024432,2025-07-01,3
0.3,1.0344330147743663,0.4230361265364697,51.65438693545482,-0.17711790883928977,2025-07-01,3
0.35,1.0242600618155961,0.3624508641667187,51.146400781780955,-0.2036981698999629,2025-07-01,3
0.4,1.0121144744280552,0.30941536157733823,50.539911176834174,-0.23404068022522975,2025-07-01,3
0.45,0.9992998059489157,0.2599987521058214,49.90001102417379,-0.27422966103056845,2025-07-01,3
0.5,0.9846421435274898,0.21139327385037748,49.16808101471759,-0.32019182005754154,2025-07-01,3
0.55,0.9696874430514519,0.16784176701815687,48.42131841737186,-0.37132262368118346,2025-07-01,3
0.6,0.9627375363601003,0.13339988768952393,48.0742749991195,-0.43271032834265377,2025-07-01,3
0.65,0.9515505214275459,0.09933237661446309,47.51565168593675,-0.5019840373064741,2025-07-01,3
0.7,0.9460560254940561,0.06844699569476509,47.241284167779305,-0.581937696015396,2025-07-01,3
0.75,0.9406799665679138,0.040806139639358585,46.972830798646136,-0.6774252748099917,2025-07-01,3
0.8,0.9478776064172137,0.021214201035752167,47.33224476599605,-0.7928186774810371,2025-07-01,3
0.85,0.9840323695099937,0.002994946028576777,49.137631964278306,-0.9541725925254475,2025-07-01,3
0.9,1.0,0.0,49.9349751967476,-1.0,2025-07-01,3
0.95,1.0,0.0,49.9349751967476,-1.0,2025-07-01,3
0.0,0.9227634510436729,1.0,44.79202233306009,-0.18318148505676932,2025-08-01,1
0.05,0.918208500366857,0.7718510565614172,44.57091967428967,-0.1879408752703348,2025-08-01,1
0.1,0.9093190077072144,0.5973842174613245,44.13941325377644,-0.1983461712984773,2025-08-01,1
0.15,0.8999618440142806,0.48675028061099995,43.68520553170645,-0.21053213525058462,2025-08-01,1
0.2,0.8910214397278751,0.40832560636376947,43.25122780099949,-0.22465298640653952,2025-08-01,1
0.25,0.8824039324727012,0.3490800839392904,42.832923871652824,-0.24012098035237928,2025-08-01,1
0.3,0.8753355370123307,0.29876531160021474,42.4898156493216,-0.25816040810392543,2025-08-01,1
0.35,0.8696969527717349,0.25738128934654236,42.216112143893476,-0.27787776587102647,2025-08-01,1
0.4,0.8625164044072243,0.21775413596212972,41.86755988779469,-0.30057889987942144,2025-08-01,1
0.45,0.8573721284540263,0.18471524083744081,41.61785068754141,-0.3253402210845993,2025-08-01,1
0.5,0.851713490883152,0.1529939973646967,41.34317376989516,-0.35387820358065786,2025-08-01,1
0.55,0.8491365516348558,0.12683617197794153,41.21808611039795,-0.3824370889797719,2025-08-01,1
0.6,0.8466290392246655,0.1021424039822361,41.0963685112119,-0.41657496881257894,2025-08-01,1
0.65,0.8439859664320678,0.07774144746474061,40.96807065175503,-0.4612460983294557,2025-08-01,1
0.7,0.8490921507089537,0.05573178468595969,41.21593083727528,-0.5180496385835891,2025-08-01,1
0.75,0.8604235121665605,0.0340637352984237,41.765968438893594,-0.5976879199571906,2025-08-01,1
0.8,0.8788245561852944,0.017373481040456787,42.659176740226435,-0.689033631554172,2025-08-01,1
0.85,0.910790170326043,0.007222683129178664,44.210825216185235,-0.7977501903862493,2025-08-01,1
0.9,0.9689957815751655,0.0021472841735396026,47.03619398868196,-0.9221509545320515,2025-08-01,1
0.95,0.9983487511285642,0.0,48.461021626025435,-0.9973316472363705,2025-08-01,1
0.0,0.9924436645867514,1.0,46.98797042145813,-0.19689302373426215,2025-08-01,2
0.05,0.9890020333567979,0.8357894736842105,46.82502387627366,-0.2004933884729624,2025-08-01,2
0.1,0.9806735335845025,0.6784595635430039,46.43070496939779,-0.21021669980119662,2025-08-01,2
0.15,0.970059223791308,0.5590243902439025,45.92816271697232,-0.22371887390785025,2025-08-01,2
