forecast_origin,horizon,behavior_segment,calibration_n_rows,evaluation_n_rows,selection_scope,chosen_expert,calibration_selection_wape,evaluation_segment_wape
2025-10-01,3,intermittent,23005,10314,CALIBRATION_SEGMENT,hurdle,0.9680295565199871,0.9438078664051105
2025-10-01,3,very_sparse,7611,2497,CALIBRATION_SEGMENT,hurdle,1.010372668441229,0.988070575368631
2025-11-01,1,regular,4691,1398,CALIBRATION_SEGMENT,hurdle,0.7962489189336803,0.7003709250042938
2025-11-01,1,intermittent,29113,10923,CALIBRATION_SEGMENT,hurdle,0.9533252393971425,0.8986150842113028
2025-11-01,1,very_sparse,7236,2252,CALIBRATION_SEGMENT,hurdle,0.9940652788910287,0.9828691308593799
2025-11-01,2,regular,5133,1392,CALIBRATION_SEGMENT,hurdle,0.8205011417277001,0.7817444257475393
2025-11-01,2,intermittent,27161,10861,CALIBRATION_SEGMENT,hurdle,0.9610321202844209,0.9512505311606412
2025-11-01,2,very_sparse,7247,2256,CALIBRATION_SEGMENT,hurdle,0.9708374969035127,1.0
2025-11-01,3,regular,5428,1288,CALIBRATION_SEGMENT,hurdle,0.8561104272872848,0.88044184500074
2025-11-01,3,intermittent,25113,10688,CALIBRATION_SEGMENT,hurdle,0.9741322777588348,1.0531580702194965
2025-11-01,3,very_sparse,7316,2242,CALIBRATION_SEGMENT,hurdle,0.9862783139046237,1.0238846072350951
2025-12-01,1,regular,4312,1369,CALIBRATION_SEGMENT,hurdle,0.7168847683410277,0.647383041836398
2025-12-01,1,intermittent,31021,11346,CALIBRATION_SEGMENT,hurdle,0.916622419878886,0.8729535081669588
2025-12-01,1,very_sparse,7093,2060,CALIBRATION_SEGMENT,hurdle,0.9719124982505607,1.0035500387281129
2025-12-01,2,regular,4729,1276,CALIBRATION_SEGMENT,hurdle,0.7615829404464479,1.0747706717630665
2025-12-01,2,intermittent,29177,11153,CALIBRATION_SEGMENT,hurdle,0.9361858498109938,1.1843586919319986
2025-12-01,2,very_sparse,7241,2055,CALIBRATION_SEGMENT,hurdle,0.937607821021753,1.0499977757921999
2025-12-01,3,regular,5170,1404,CALIBRATION_SEGMENT,hurdle,0.7815370375858403,0.7660135485089818
2025-12-01,3,intermittent,27208,11552,CALIBRATION_SEGMENT,hurdle,0.9406026112332929,0.9702883743202823
2025-12-01,3,very_sparse,7254,2074,CALIBRATION_SEGMENT,hurdle,0.9579864039105451,1.0
