forecast_origin,model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
2025-01-01,hurdle,PORTFOLIO,1,0.5858651240279085,776093.1629046692,-776093.1629046692,-0.5858651240279085,1324695.96,548602.7970953308
2025-01-01,behavior_gated,PORTFOLIO,1,0.5860530946006246,776342.1667629452,-776342.1667629452,-0.5860530946006246,1324695.96,548353.7932370547
2025-02-01,naive_1,PAIR,7718,0.9518545534664604,182.16616740088105,-122921.55999999997,-0.08321970262251321,1477072.81,1354151.25
2025-02-01,seasonal_naive_12,PAIR,7718,1.2455927409563514,238.38185669862662,-933276.8500000001,-0.6318421432454641,1477072.81,543795.96
2025-02-01,moving_average_3,PAIR,7718,0.8255587075629671,157.99563617517492,-212744.16000000003,-0.14403092288998268,1477072.81,1264328.65
2025-02-01,croston_sba,PAIR,7718,1.367648794156022,261.74097531447876,1101937.1913688718,0.7460276730494225,1477072.81,2579010.001368872
2025-02-01,tsb,PAIR,7718,1.2390235202815,237.12463756909656,924037.6433769183,0.6255870645787043,1477072.81,2401110.453376918
2025-02-01,lightgbm_tweedie,PAIR,7718,0.7579213222762186,145.0511761147253,-485617.1880417206,-0.32876997312117645,1477072.81,991455.6219582794
2025-02-01,hurdle,PAIR,7718,0.9068231352708765,173.5480430924545,-1283372.1828304739,-0.8688618287073295,1477072.81,193700.62716952583
2025-02-01,behavior_gated,PAIR,7718,0.8441484666234473,161.55334900915867,-1116272.2907774185,-0.7557327460231419,1477072.81,360800.5192225815
2025-02-01,naive_1,BASE_SKU,843,0.5431329008080517,951.6569869513643,-122921.56,-0.08321970262251323,1477072.81,1354151.25
2025-02-01,seasonal_naive_12,BASE_SKU,843,1.1592817756898524,2031.2498102016605,-933276.8499999999,-0.6318421432454638,1477072.81,543795.96
2025-02-01,moving_average_3,BASE_SKU,843,0.5110140914448219,895.3796204033215,-212744.15999999997,-0.14403092288998262,1477072.81,1264328.65
2025-02-01,croston_sba,BASE_SKU,843,1.0045549062852468,1760.1432244674213,1101937.1913688718,0.7460276730494225,1477072.81,2579010.001368872
2025-02-01,tsb,BASE_SKU,843,0.8812427251330319,1544.0802708236122,924037.6433769182,0.6255870645787043,1477072.81,2401110.453376918
2025-02-01,lightgbm_tweedie,BASE_SKU,843,0.5295592154229439,927.8736872908223,-485617.1880417207,-0.32876997312117656,1477072.81,991455.6219582795
2025-02-01,hurdle,BASE_SKU,843,0.8816997412196538,1544.8810371762597,-1283372.182830474,-0.8688618287073296,1477072.81,193700.62716952586
2025-02-01,behavior_gated,BASE_SKU,843,0.7773222759879408,1361.9947787296599,-1116272.2907774185,-0.7557327460231419,1477072.81,360800.51922258147
2025-02-01,naive_1,BRANCH,51,0.3517049372806476,10186.15294117647,-122921.56,-0.08321970262251323,1477072.8100000003,1354151.25
2025-02-01,seasonal_naive_12,BRANCH,51,0.6457107080591374,18701.210392156863,-933276.85,-0.6318421432454638,1477072.8100000003,543795.96
2025-02-01,moving_average_3,BRANCH,51,0.3072409138720792,8898.376470588237,-212744.16000000006,-0.14403092288998268,1477072.8100000003,1264328.65
2025-02-01,croston_sba,BRANCH,51,0.7744309140139526,22429.23228065603,1101937.191368872,0.7460276730494225,1477072.8100000003,2579010.0013688714
2025-02-01,tsb,BRANCH,51,0.6594422724270815,19098.906869934413,924037.6433769184,0.6255870645787043,1477072.8100000003,2401110.453376918
2025-02-01,lightgbm_tweedie,BRANCH,51,0.3773597459945321,10929.17294896137,-485617.18804172066,-0.32876997312117645,1477072.8100000003,991455.6219582794
2025-02-01,hurdle,BRANCH,51,0.8688618287073299,25164.160447656363,-1283372.1828304746,-0.8688618287073299,1477072.8100000003,193700.62716952586
2025-02-01,behavior_gated,BRANCH,51,0.7557327460231419,21887.691976027818,-1116272.2907774188,-0.7557327460231419,1477072.8100000003,360800.51922258147
2025-02-01,naive_1,PORTFOLIO,1,0.08321970262251327,122921.56000000006,-122921.56000000006,-0.08321970262251327,1477072.81,1354151.25
2025-02-01,seasonal_naive_12,PORTFOLIO,1,0.6318421432454641,933276.8500000001,-933276.8500000001,-0.6318421432454641,1477072.81,543795.96
