forecast_origin,model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
2025-03-01,lightgbm_reference,PAIR,8668,0.7561205553689864,136.06591595923905,-319464.6696833345,-0.2048073923061877,1559829.7800000003,1240365.1103166656
2025-03-01,soft_two_part_expected,PAIR,8668,0.7452052973309446,134.10168608566707,-273525.9204131291,-0.17535626253598585,1559829.7800000003,1286303.859586871
2025-03-01,lightgbm_reference,BASE_SKU,916,0.4360009920805126,742.453418730052,-319464.6696833345,-0.20480739230618772,1559829.78,1240365.1103166654
2025-03-01,soft_two_part_expected,BASE_SKU,916,0.43118167890418335,734.2467503767937,-273525.9204131291,-0.17535626253598588,1559829.78,1286303.8595868708
2025-03-01,lightgbm_reference,BRANCH,52,0.3213813346758605,9640.388010837574,-319464.6696833345,-0.20480739230618772,1559829.78,1240365.1103166656
2025-03-01,soft_two_part_expected,BRANCH,52,0.30732995017111464,9218.892472361938,-273525.92041312915,-0.1753562625359859,1559829.78,1286303.8595868708
2025-03-01,lightgbm_reference,PORTFOLIO,1,0.20480739230618766,319464.6696833344,-319464.6696833344,-0.20480739230618766,1559829.78,1240365.1103166656
2025-03-01,soft_two_part_expected,PORTFOLIO,1,0.17535626253598582,273525.92041312903,-273525.92041312903,-0.17535626253598582,1559829.78,1286303.859586871
2025-04-01,lightgbm_reference,PAIR,9696,0.850119674823635,131.69350303882797,-12620.364248348684,-0.00840223840911622,1502024.0599999998,1489403.6957516512
2025-04-01,soft_two_part_expected,PAIR,9696,0.8416219411142037,130.3771044737456,33647.311978882746,0.02240131358407318,1502024.0599999998,1535671.371978883
2025-04-01,lightgbm_reference,BASE_SKU,1002,0.45262103858098385,678.4907085936387,-12620.364248348676,-0.008402238409116214,1502024.06,1489403.6957516514
2025-04-01,soft_two_part_expected,BASE_SKU,1002,0.4542322386108662,680.905939342497,33647.31197888277,0.02240131358407319,1502024.06,1535671.3719788827
2025-04-01,lightgbm_reference,BRANCH,54,0.333550298938724,9277.788411595478,-12620.364248348695,-0.008402238409116226,1502024.0599999998,1489403.6957516512
2025-04-01,soft_two_part_expected,BRANCH,54,0.30106747946625634,8374.270330405054,33647.31197888274,0.022401313584073174,1502024.0599999998,1535671.3719788827
2025-04-01,lightgbm_reference,PORTFOLIO,1,0.008402238409116185,12620.364248348633,-12620.364248348633,-0.008402238409116185,1502024.06,1489403.6957516514
2025-04-01,soft_two_part_expected,PORTFOLIO,1,0.02240131358407311,33647.311978882644,33647.311978882644,0.02240131358407311,1502024.06,1535671.3719788827
2025-05-01,lightgbm_reference,PAIR,10769,0.7810342602406489,111.8980829387649,-249656.8422072766,-0.1618137917022714,1542865.04,1293208.1977927235
2025-05-01,soft_two_part_expected,PAIR,10769,0.7731463948855919,110.7679954936405,-285648.996518875,-0.18514192046173722,1542865.04,1257216.043481125
2025-05-01,lightgbm_reference,BASE_SKU,1045,0.43773024559179907,646.2762611236373,-249656.8422072766,-0.1618137917022714,1542865.04,1293208.1977927233
2025-05-01,soft_two_part_expected,BASE_SKU,1045,0.44332206502640387,654.53216802856,-285648.996518875,-0.18514192046173722,1542865.04,1257216.043481125
2025-05-01,lightgbm_reference,BRANCH,57,0.2884734515999472,7808.34392002966,-249656.84220727658,-0.16181379170227136,1542865.04,1293208.1977927235
2025-05-01,soft_two_part_expected,BRANCH,57,0.29988979413037636,8117.359284500963,-285648.996518875,-0.18514192046173722,1542865.04,1257216.0434811248
2025-05-01,lightgbm_reference,PORTFOLIO,1,0.16181379170227145,249656.84220727673,-249656.84220727673,-0.16181379170227145,1542865.04,1293208.1977927233
2025-05-01,soft_two_part_expected,PORTFOLIO,1,0.18514192046173722,285648.996518875,-285648.996518875,-0.18514192046173722,1542865.04,1257216.043481125
