model,universe,horizon,segment,n_rows,wape,mae,bias,bias_ratio,zero_false_positive_rate,positive_wape
tsb,PRIMARY,,very_sparse,6189,5.929263682670196,53.16391075936026,269053.0938345048,4.848432478348628,0.9812249362012395,0.9662823755821472
lightgbm_tweedie,PRIMARY,,,44289,1.0058951850289528,29.363813836723452,-336610.35013052064,-0.2603585585023515,1.0,0.7437284382893411
lightgbm_tweedie,PRIMARY,1.0,,14775,0.876757602579402,34.018048408759086,-193056.58434089337,-0.3367652522390259,1.0,0.7044791958132188
lightgbm_tweedie,PRIMARY,2.0,,14484,1.5158789036390037,15.3937492198655,82577.17927678156,0.5614248472824087,1.0,0.786759294291576
lightgbm_tweedie,PRIMARY,3.0,,15030,1.004182444929881,38.251112579820195,-226130.94506640878,-0.3949749659551601,1.0,0.7719739688548672
lightgbm_tweedie,PRIMARY,,regular,4049,0.7855380428509406,83.69270918595868,-122819.56254925238,-0.28470779990244605,1.0,0.6548072710617305
lightgbm_tweedie,PRIMARY,,intermittent,34051,1.0954644349642,25.929776364723658,-207946.4960604205,-0.25800091574240486,1.0,0.7844136198733016
lightgbm_tweedie,PRIMARY,,very_sparse,6189,1.4179741610712207,12.714066331474074,-5844.2915208477125,-0.10531621256897673,1.0,0.8440591542755681
catboost_tweedie,PRIMARY,,,44289,1.2001668956082419,35.03493984278725,-23317.74853974642,-0.01803561713112704,1.0,0.7603403497772854
catboost_tweedie,PRIMARY,1.0,,14775,0.9080691171090309,35.23292993802876,-206381.84409444692,-0.36000965220278025,1.0,0.7182579142461151
catboost_tweedie,PRIMARY,2.0,,14484,2.5524041906323576,25.919662793648317,263265.1318484117,1.789884175473841,1.0,0.9482508455975017
catboost_tweedie,PRIMARY,3.0,,15030,1.145245353849101,43.62445209312226,-80201.03629371118,-0.14008432844241775,1.0,0.7542020049397771
catboost_tweedie,PRIMARY,,regular,4049,0.8260922190054721,88.01342783487253,-57058.96576090616,-0.13226828258716575,1.0,0.658578987577788
catboost_tweedie,PRIMARY,,intermittent,34051,1.3399646488325512,31.7171261538938,866.4231781625494,0.0010749783123127586,1.0,0.8084258041550785
catboost_tweedie,PRIMARY,,very_sparse,6189,2.0776788831626445,18.629216145995798,32874.79404299722,0.5924154853061518,1.0,0.853004341537975
hurdle,PRIMARY,,,44289,0.8593796511853881,25.086772924307947,-825318.3270370018,-0.6383603173509279,0.030004110152075627,0.8143224891452846
hurdle,PRIMARY,1.0,,14775,0.7937395298647189,30.796961065915983,-283516.9780637053,-0.4945631197073124,0.07272125358640477,0.7358211545702621
hurdle,PRIMARY,2.0,,14484,0.9467950666974493,9.614703248629178,-115986.8313743679,-0.7885700342568417,0.0004198857910648304,0.9270302155220947
hurdle,PRIMARY,3.0,,15030,0.9026477752103531,34.38347468014777,-425814.51759892865,-0.7437552367830855,0.026737967914438502,0.8639708237070467
hurdle,PRIMARY,,regular,4049,0.7224530282705286,76.97151238674492,-192423.29522767707,-0.446056083388845,0.1974156496769562,0.6703277859385639
hurdle,PRIMARY,,intermittent,34051,0.9224254117863193,21.833921647615192,-582564.6478599735,-0.7227927157923992,0.026141414141414143,0.8797725579987269
hurdle,PRIMARY,,very_sparse,6189,1.0081229703276722,9.039193143932694,-50330.383949351395,-0.9069714260111472,0.004921618665694495,0.983090645942727
behavior_gated,PRIMARY,,,44289,0.8593796511853881,25.086772924307947,-825318.3270370018,-0.6383603173509279,0.030004110152075627,0.8143224891452846
behavior_gated,PRIMARY,1.0,,14775,0.7937395298647189,30.796961065915983,-283516.9780637053,-0.4945631197073124,0.07272125358640477,0.7358211545702621
behavior_gated,PRIMARY,2.0,,14484,0.9467950666974493,9.614703248629178,-115986.8313743679,-0.7885700342568417,0.0004198857910648304,0.9270302155220947
behavior_gated,PRIMARY,3.0,,15030,0.9026477752103531,34.38347468014777,-425814.51759892865,-0.7437552367830855,0.026737967914438502,0.8639708237070467
behavior_gated,PRIMARY,,regular,4049,0.7224530282705286,76.97151238674492,-192423.29522767707,-0.446056083388845,0.1974156496769562,0.6703277859385639
behavior_gated,PRIMARY,,intermittent,34051,0.9224254117863193,21.833921647615192,-582564.6478599735,-0.7227927157923992,0.026141414141414143,0.8797725579987269
behavior_gated,PRIMARY,,very_sparse,6189,1.0081229703276722,9.039193143932694,-50330.383949351395,-0.9069714260111472,0.004921618665694495,0.983090645942727
