source_file,source_row_no,bravo_sku,base_sku,branch_code,month,mapping_status,branch_mapping_status,primary_exclusion_reason,secondary_flags
sales_monthly_by_sku_branch_202607161619.csv,151084,29.L2.8080.FPU8013,29.L2.8080.FPU8013,081,2024-01-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,151085,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,000,2024-06-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151086,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,000,2024-07-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151087,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,000,2024-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151088,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,000,2024-10-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151089,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,000,2025-04-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151090,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,000,2025-06-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151091,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,002,2025-02-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151092,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,002,2025-06-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151093,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,008,2024-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151094,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,008,2024-09-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151095,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,008,2025-07-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151096,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,008,2025-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151097,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,010,2024-07-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151098,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,010,2024-11-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151099,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,010,2024-12-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151100,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,012,2024-05-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151101,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,012,2024-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151102,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,012,2025-05-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151103,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,013,2024-01-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151104,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,013,2024-02-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151105,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,013,2024-04-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151106,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,013,2024-07-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151107,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,013,2024-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151108,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,013,2024-09-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151109,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,013,2024-11-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151110,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,013,2024-12-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151111,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,013,2025-07-01,MAPPED,MAPPED,INVALID_STRUCTURE,
